SALONES;ID;NAME;POPULATION;POP_DENS;PPIDX_CY;PPPC_CY;REGION
1;200301001;Albacete;858;21450;153,6;23353,67;CastillaLM
0;200301002;Albacete;1275;25500;139,6;21223,7;CastillaLM
0;200301003;Albacete;2098;29971,4;158,1;24044,9;CastillaLM
0;200301004;Albacete;1122;16028,6;166,6;25338,61;CastillaLM
0;200301005;Albacete;1441;28820;132,9;20206,51;CastillaLM
0;200301006;Albacete;2157;35950;109,8;16697,93;CastillaLM
0;200301007;Albacete;1232;15400;132,9;20205,58;CastillaLM
0;200301008;Albacete;940;47000;121,7;18499,37;CastillaLM
0;200301009;Albacete;1133;37766,7;123,2;18740,53;CastillaLM
0;200301010;Albacete;2721;531,4;104,1;15824,69;CastillaLM
0;200301011;Albacete;2561;9485,2;87,3;13275,69;CastillaLM
0;200301012;Albacete;1077;10770;127,6;19404,49;CastillaLM
0;200301013;Albacete;1449;13172,7;91,3;13877,4;CastillaLM
1;200301014;Albacete;1816;36320;121,7;18502,15;CastillaLM
0;200301015;Albacete;1300;32500;127,8;19441,37;CastillaLM
0;200301017;Albacete;2490;20750;111,1;16892,27;CastillaLM
0;200301018;Albacete;486;2314,3;105,7;16076,94;CastillaLM
0;200302001;Albacete;1765;35300;111,6;16967,97;CastillaLM
0;200302002;Albacete;1652;23600;108;16417,13;CastillaLM
1;200302003;Albacete;1159;38633,3;123,7;18808,16;CastillaLM
1;200302004;Albacete;1386;34650;94,7;14404,15;CastillaLM
0;200302005;Albacete;1847;36940;67,1;10208,04;CastillaLM
0;200302006;Albacete;1367;34175;73,1;11117,63;CastillaLM
0;200302007;Albacete;1693;28216,7;83,9;12755;CastillaLM
0;200302008;Albacete;1651;33020;71,5;10877,07;CastillaLM
0;200302009;Albacete;2533;8171;119,6;18189,08;CastillaLM
1;200302010;Albacete;1901;31683,3;97,9;14894,29;CastillaLM
0;200302011;Albacete;1049;26225;86,3;13121,02;CastillaLM
0;200302012;Albacete;1919;27414,3;90,7;13791,78;CastillaLM
0;200302013;Albacete;971;32366,7;133,1;20233,46;CastillaLM
1;200302014;Albacete;1938;38760;86,9;13217,79;CastillaLM
0;200302015;Albacete;1457;29140;74,7;11361,35;CastillaLM
0;200302016;Albacete;2060;41200;109,5;16654,21;CastillaLM
0;200302017;Albacete;1304;32600;81;12314,97;CastillaLM
0;200302018;Albacete;1699;33980;123,7;18808,39;CastillaLM
0;200302019;Albacete;1350;33750;86,2;13108,79;CastillaLM
0;200302020;Albacete;1750;43750;75,5;11479,41;CastillaLM
1;200302021;Albacete;1411;11758,3;90,1;13701,79;CastillaLM
0;200302022;Albacete;1389;2525,5;102,1;15529,95;CastillaLM
0;200302023;Albacete;1771;14758,3;97,9;14885,84;CastillaLM
0;200302024;Albacete;2854;1194,1;118,5;18018,44;CastillaLM
0;200303001;Albacete;788;26266,7;136,4;20741,83;CastillaLM
0;200303002;Albacete;1363;34075;107,5;16347,33;CastillaLM
1;200303003;Albacete;2057;22855,6;85;12920,97;CastillaLM
0;200303004;Albacete;2029;40580;82;12476,23;CastillaLM
0;200303005;Albacete;1817;36340;82,3;12512,9;CastillaLM
0;200303006;Albacete;1370;9785,7;74,2;11278,52;CastillaLM
0;200303007;Albacete;1786;35720;73,1;11114,96;CastillaLM
0;200303008;Albacete;1770;22125;69;10500,24;CastillaLM
0;200303009;Albacete;1263;31575;71,1;10816,39;CastillaLM
1;200303010;Albacete;744;37200;102,6;15606,51;CastillaLM
0;200303011;Albacete;1109;27725;169,9;25839,19;CastillaLM
0;200303012;Albacete;1998;33300;79,5;12087,76;CastillaLM
1;200303013;Albacete;1163;38766,7;69,1;10505,86;CastillaLM
0;200303014;Albacete;1134;4725;73,9;11242,8;CastillaLM
0;200304001;Albacete;1319;32975;119,3;18146,86;CastillaLM
2;200304002;Albacete;1810;30166,7;90,2;13719,08;CastillaLM
1;200304003;Albacete;789;11271,4;97,7;14858,8;CastillaLM
0;200304004;Albacete;1443;48100;91,4;13891,74;CastillaLM
0;200304005;Albacete;1578;22542,9;82,3;12519,27;CastillaLM
0;200304006;Albacete;940;15666,7;70,3;10686,97;CastillaLM
0;200304007;Albacete;1487;8747,1;94,2;14324,63;CastillaLM
0;200304008;Albacete;1358;45266,7;87,8;13355,32;CastillaLM
0;200304009;Albacete;1212;40400;90;13684,73;CastillaLM
0;200304010;Albacete;1088;36266,7;104,7;15925,94;CastillaLM
0;200304011;Albacete;1682;623;112;17030,95;CastillaLM
0;200304012;Albacete;1501;6004;69,1;10511,81;CastillaLM
0;200304013;Albacete;2078;20780;94,6;14391,82;CastillaLM
0;200304014;Albacete;1632;32640;90,3;13732,31;CastillaLM
1;200305001;Albacete;986;32866,7;135,8;20657,7;CastillaLM
0;200305002;Albacete;1180;39333,3;121,8;18524,23;CastillaLM
1;200305003;Albacete;1456;36400;129,6;19702,95;CastillaLM
0;200305004;Albacete;1680;42000;78,2;11896,38;CastillaLM
0;200305005;Albacete;1695;56500;99,8;15178,56;CastillaLM
0;200305006;Albacete;1371;34275;95,7;14556,6;CastillaLM
0;200305007;Albacete;1267;31675;79,8;12137,3;CastillaLM
0;200305008;Albacete;1239;30975;76,2;11591,91;CastillaLM
0;200305009;Albacete;1666;23800;89,2;13570,36;CastillaLM
0;200305010;Albacete;1533;38325;119,7;18208,65;CastillaLM
1;200305011;Albacete;1235;41166,7;93,1;14154,7;CastillaLM
1;200305013;Albacete;1567;2798,2;84,2;12799,23;CastillaLM
0;200306001;Albacete;1128;18800;156,9;23855,36;CastillaLM
0;200306002;Albacete;2081;26012,5;152,3;23165,84;CastillaLM
0;200306003;Albacete;1331;26620;159,5;24249,29;CastillaLM
0;200306004;Albacete;1342;44733,3;115,7;17599,47;CastillaLM
0;200306005;Albacete;911;5693,8;99,5;15131,18;CastillaLM
1;200306006;Albacete;1151;28775;91;13830,94;CastillaLM
1;200306007;Albacete;1247;41566,7;154,5;23494,42;CastillaLM
0;200306008;Albacete;1292;1374,5;129,8;19733,14;CastillaLM
2;200306009;Albacete;927;23175;157,1;23887,74;CastillaLM
0;200306010;Albacete;1806;25800;156,1;23742,84;CastillaLM
0;200306011;Albacete;673;33650;129,5;19696,73;CastillaLM
0;200306012;Albacete;1063;17716,7;155,5;23648,04;CastillaLM
1;200306013;Albacete;1168;38933,3;125,8;19135,73;CastillaLM
0;200306014;Albacete;1845;9225;136,5;20752,99;CastillaLM
0;200307001;Albacete;1548;30960;132,7;20186,46;CastillaLM
0;200307002;Albacete;1336;19085,7;99,8;15180,26;CastillaLM
0;200307003;Albacete;1427;28540;80;12168,57;CastillaLM
0;200307004;Albacete;1550;38750;135,2;20557,94;CastillaLM
4;200307005;Albacete;1865;16954,5;94,1;14317,08;CastillaLM
1;200307006;Albacete;1251;13900;104,5;15892,57;CastillaLM
0;200307007;Albacete;835;5566,7;33,2;5048,09;CastillaLM
0;200307008;Albacete;2519;880,8;99,8;15179,12;CastillaLM
0;200307009;Albacete;1421;11841,7;68,4;10397,84;CastillaLM
0;200307010;Albacete;1671;15190,9;87,3;13270,89;CastillaLM
0;200307011;Albacete;2062;29457,1;60,9;9261,77;CastillaLM
0;200307013;Albacete;1231;20516,7;116,5;17722,37;CastillaLM
0;200307014;Albacete;2698;2286,4;131,2;19947,1;CastillaLM
0;200307015;Albacete;1657;27616,7;74,6;11338,23;CastillaLM
0;200307016;Albacete;894;29800;149,8;22784,23;CastillaLM
0;200307017;Albacete;2795;10351,9;139,3;21178,78;CastillaLM
0;200308001;Albacete;2202;2,7;101,7;15462,47;CastillaLM
0;200308002;Albacete;1284;8,7;56,5;8599,35;CastillaLM
0;200308003;Albacete;1007;8;60,2;9157,94;CastillaLM
0;200308006;Albacete;1965;65,7;83,8;12750,48;CastillaLM
0;4718601001;Valladolid;1314;11945,5;199,1;30277,53;CastillayL
0;4718601003;Valladolid;991;12387,5;209,1;31797,74;CastillayL
0;4718601006;Valladolid;906;9060;197,3;30003,42;CastillayL
0;4718601007;Valladolid;591;9850;191,1;29067,91;CastillayL
1;4718602001;Valladolid;796;26533,3;202;30723,32;CastillayL
0;4718602002;Valladolid;1033;5738,9;178,5;27151,5;CastillayL
0;4718602004;Valladolid;1010;12625;182,9;27820,01;CastillayL
0;4718602005;Valladolid;1272;15900;188,3;28627,15;CastillayL
0;4718602006;Valladolid;942;23550;172,1;26170;CastillayL
0;4718602007;Valladolid;930;46500;144,9;22027,48;CastillayL
0;4718602008;Valladolid;714;35700;163,4;24855,17;CastillayL
0;4718602009;Valladolid;629;62900;162,7;24745,07;CastillayL
0;4718602010;Valladolid;1161;29025;189;28734,7;CastillayL
1;4718602012;Valladolid;894;29800;180,2;27395,93;CastillayL
0;4718602013;Valladolid;920;15333,3;182,3;27725,58;CastillayL
0;4718602014;Valladolid;1228;15350;164,9;25072,19;CastillayL
0;4718602015;Valladolid;1215;13500;108,9;16557,74;CastillayL
0;4718602017;Valladolid;782;39100;153;23263,19;CastillayL
0;4718602019;Valladolid;983;16383,3;140,9;21419,83;CastillayL
0;4718603001;Valladolid;711;35550;177,9;27046,81;CastillayL
0;4718603002;Valladolid;811;27033,3;186,3;28334,55;CastillayL
0;4718603003;Valladolid;948;31600;127,7;19415,05;CastillayL
1;4718603004;Valladolid;912;30400;130,2;19807,02;CastillayL
0;4718603005;Valladolid;1276;42533,3;121,6;18487,55;CastillayL
1;4718603007;Valladolid;682;22733,3;155,5;23649,54;CastillayL
0;4718603008;Valladolid;1342;16775;191,9;29180,84;CastillayL
0;4718603009;Valladolid;699;34950;200;30411,22;CastillayL
0;4718604001;Valladolid;1290;32250;85,3;12970,11;CastillayL
1;4718604002;Valladolid;707;35350;98,4;14956,07;CastillayL
0;4718604003;Valladolid;1426;35650;86,2;13109,71;CastillayL
0;4718604004;Valladolid;1445;48166,7;91,8;13956,49;CastillayL
0;4718604005;Valladolid;996;24900;94,7;14400,61;CastillayL
1;4718604006;Valladolid;1261;42033,3;85,9;13062,11;CastillayL
0;4718604007;Valladolid;1910;38200;88,1;13394,35;CastillayL
0;4718604008;Valladolid;694;69400;90,4;13749,47;CastillayL
0;4718604009;Valladolid;941;47050;64;9730,93;CastillayL
0;4718604010;Valladolid;837;41850;85,1;12933,58;CastillayL
0;4718604011;Valladolid;1204;30100;40,3;6124,05;CastillayL
0;4718604012;Valladolid;953;23825;90,8;13812,07;CastillayL
0;4718604013;Valladolid;857;42850;108;16419,3;CastillayL
0;4718604014;Valladolid;738;36900;107,2;16309,47;CastillayL
0;4718604015;Valladolid;1004;50200;81,9;12448,2;CastillayL
0;4718604016;Valladolid;1348;33700;81,2;12354,57;CastillayL
0;4718604017;Valladolid;1221;30525;86,7;13181,31;CastillayL
0;4718604018;Valladolid;1139;28475;95,1;14462,12;CastillayL
0;4718604020;Valladolid;765;76500;83,4;12675,74;CastillayL
0;4718604021;Valladolid;1637;32740;79,6;12108,27;CastillayL
0;4718604023;Valladolid;820;82000;69,3;10541,2;CastillayL
0;4718604024;Valladolid;837;6438,5;79,5;12089,07;CastillayL
1;4718604025;Valladolid;837;83700;68,5;10418,82;CastillayL
0;4718604026;Valladolid;1260;42000;95,1;14457,78;CastillayL
0;4718604027;Valladolid;1056;21120;82,7;12581,99;CastillayL
0;4718604028;Valladolid;1439;28780;52,6;8001,07;CastillayL
0;4718604029;Valladolid;645;16125;110,1;16736,57;CastillayL
0;4718604030;Valladolid;1159;38633,3;86,1;13098,36;CastillayL
0;4718604032;Valladolid;942;23550;123;18703,09;CastillayL
0;4718604033;Valladolid;775;38750;73,6;11191,98;CastillayL
0;4718604034;Valladolid;968;32266,7;93;14138,68;CastillayL
0;4718604036;Valladolid;1056;21120;82,2;12496,3;CastillayL
0;4718604037;Valladolid;1361;2777,6;131,5;19997,51;CastillayL
0;4718604038;Valladolid;1790;1884,2;99,9;15186,96;CastillayL
0;4718604039;Valladolid;1181;39366,7;122,3;18598,99;CastillayL
0;4718604040;Valladolid;1287;132,5;123,4;18757,96;CastillayL
0;4718604041;Valladolid;2633;3097,6;131,9;20051,01;CastillayL
1;4718605001;Valladolid;1062;21240;178,9;27204,01;CastillayL
2;4718605002;Valladolid;1326;14733,3;192,4;29261,67;CastillayL
0;4718605004;Valladolid;766;15320;192,7;29310,57;CastillayL
0;4718605006;Valladolid;969;13842,9;183,9;27972,2;CastillayL
0;4718605007;Valladolid;641;21366,7;197,5;30027,63;CastillayL
0;4718606001;Valladolid;929;46450;146,3;22255,17;CastillayL
0;4718606002;Valladolid;842;42100;130;19770,88;CastillayL
0;4718606003;Valladolid;1267;31675;142,3;21641,22;CastillayL
0;4718606005;Valladolid;1030;34333,3;98,8;15028,84;CastillayL
0;4718606006;Valladolid;1180;59000;144,7;22004,1;CastillayL
1;4718606007;Valladolid;1634;54466,7;122;18556,48;CastillayL
0;4718606009;Valladolid;1289;42966,7;107,3;16317,7;CastillayL
0;4718606010;Valladolid;1022;34066,7;121,5;18471,29;CastillayL
0;4718606012;Valladolid;936;31200;82,9;12602,31;CastillayL
0;4718606013;Valladolid;1062;53100;66,5;10109,14;CastillayL
0;4718606014;Valladolid;856;28533,3;95,6;14543,87;CastillayL
0;4718606015;Valladolid;910;45500;107,2;16300,51;CastillayL
0;4718606016;Valladolid;707;70700;86,7;13181,78;CastillayL
0;4718606017;Valladolid;940;47000;134,7;20488,74;CastillayL
0;4718606018;Valladolid;690;23000;124,4;18910,22;CastillayL
0;4718606019;Valladolid;915;30500;69,5;10568,48;CastillayL
0;4718606020;Valladolid;1207;15087,5;95;14450,74;CastillayL
0;4718606021;Valladolid;790;39500;151,2;22994,31;CastillayL
0;4718606022;Valladolid;1168;4866,7;86,4;13137,85;CastillayL
0;4718606023;Valladolid;1043;26075;63,9;9713,79;CastillayL
0;4718606024;Valladolid;1220;17428,6;56,6;8612,48;CastillayL
0;4718606025;Valladolid;1185;29625;73,1;11122,6;CastillayL
0;4718606026;Valladolid;905;30166,7;45,7;6954,39;CastillayL
0;4718606027;Valladolid;1459;48633,3;77,9;11842,01;CastillayL
0;4718606028;Valladolid;802;40100;62,3;9479,54;CastillayL
0;4718606029;Valladolid;834;27800;78,9;12002,64;CastillayL
0;4718606030;Valladolid;1019;16983,3;81,8;12446,74;CastillayL
0;4718606031;Valladolid;1446;145,8;98,3;14954,78;CastillayL
0;4718606032;Valladolid;899;44950;115,9;17618,29;CastillayL
2;4718606034;Valladolid;1227;40900;86,1;13099,28;CastillayL
0;4718606036;Valladolid;2185;698,1;84,5;12842,49;CastillayL
0;4718606037;Valladolid;699;34950;89,3;13576,89;CastillayL
0;4718606038;Valladolid;1533;13936,4;100,1;15218,63;CastillayL
0;4718606039;Valladolid;1333;11108,3;109,1;16585,34;CastillayL
0;4718607001;Valladolid;1133;10300;178,3;27108,91;CastillayL
0;4718607003;Valladolid;773;25766,7;166;25240,31;CastillayL
0;4718607004;Valladolid;1344;22400;146,2;22236,74;CastillayL
1;4718607005;Valladolid;1706;34120;133,3;20267,11;CastillayL
1;4718607006;Valladolid;768;38400;124,3;18904,93;CastillayL
0;4718607007;Valladolid;922;23050;113,8;17306,62;CastillayL
1;4718607008;Valladolid;1237;30925;96;14595,55;CastillayL
0;4718607010;Valladolid;729;24300;97,6;14837,06;CastillayL
0;4718607011;Valladolid;1398;6354,5;115;17490,65;CastillayL
1;4718607013;Valladolid;1287;42900;71,4;10857,09;CastillayL
0;4718607014;Valladolid;1738;3049,1;102,6;15606,83;CastillayL
0;4718607015;Valladolid;696;17400;113;17176,32;CastillayL
0;4718607016;Valladolid;633;21100;97,8;14873,8;CastillayL
0;4718607018;Valladolid;1063;35433,3;172,6;26252,1;CastillayL
0;4718607019;Valladolid;807;26900;91,1;13850,45;CastillayL
0;4718607020;Valladolid;880;29333,3;115,7;17594,69;CastillayL
0;4718607021;Valladolid;1101;27525;82,4;12524,77;CastillayL
0;4718607022;Valladolid;2272;157,1;117,8;17910,65;CastillayL
2;4718608001;Valladolid;950;31666,7;129,1;19634,5;CastillayL
0;4718608002;Valladolid;1091;5742,1;125;19003,22;CastillayL
0;4718608004;Valladolid;1499;13627,3;116,4;17699,35;CastillayL
0;4718608005;Valladolid;943;31433,3;107;16272,8;CastillayL
0;4718608006;Valladolid;1179;19650;92;13986,08;CastillayL
0;4718608009;Valladolid;1548;38700;85;12919,02;CastillayL
0;4718608012;Valladolid;1078;35933,3;121,6;18487,81;CastillayL
0;4718608013;Valladolid;1093;36433,3;117,1;17804,31;CastillayL
0;4718608014;Valladolid;1016;50800;79,1;12033,5;CastillayL
0;4718608015;Valladolid;785;78500;72,2;10978,37;CastillayL
0;4718608016;Valladolid;679;67900;77,1;11724,77;CastillayL
2;4718608017;Valladolid;1059;52950;88;13378,53;CastillayL
0;4718608018;Valladolid;1016;50800;83,8;12742,89;CastillayL
0;4718608020;Valladolid;647;12940;66,8;10163,81;CastillayL
0;4718608021;Valladolid;1141;57050;85,3;12974,09;CastillayL
0;4718608023;Valladolid;956;95600;85;12926,84;CastillayL
0;4718608024;Valladolid;1039;4156;115,4;17542,28;CastillayL
0;4718608025;Valladolid;857;42850;101,8;15474,22;CastillayL
0;4718608026;Valladolid;1142;57100;83;12617,27;CastillayL
0;4718608027;Valladolid;1016;50800;77;11709,52;CastillayL
0;4718608028;Valladolid;1792;22400;92,8;14107,85;CastillayL
0;4718608030;Valladolid;688;68800;82,5;12545,67;CastillayL
0;4718608031;Valladolid;1691;6764;88,3;13421,8;CastillayL
0;4718608032;Valladolid;974;8854,5;72,7;11060,3;CastillayL
0;4718608033;Valladolid;778;7072,7;79,1;12033,48;CastillayL
0;4718608034;Valladolid;719;3423,8;59;8966,92;CastillayL
0;4718608035;Valladolid;1522;4756,3;81,3;12356,47;CastillayL
0;4718608036;Valladolid;1154;416,6;91,6;13927,99;CastillayL
1;4718608037;Valladolid;1304;43466,7;101,4;15417,13;CastillayL
0;4718608038;Valladolid;904;45200;97,2;14783,91;CastillayL
0;4718608039;Valladolid;653;65300;67,4;10252,05;CastillayL
0;4718609001;Valladolid;722;24066,7;201,2;30594;CastillayL
0;4718609002;Valladolid;1229;7229,4;191,5;29128,71;CastillayL
0;4718609003;Valladolid;842;16840;161,4;24536,94;CastillayL
