SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
0,2807901001,Madrid,1177,17833,196,2979808,Madrid
0,2807901002,Madrid,923,307667,1772,2694916,Madrid
0,2807901003,Madrid,1800,257143,186,2827745,Madrid
0,2807901004,Madrid,1296,25920,2093,3183195,Madrid
0,2807901006,Madrid,1751,35020,1864,2834022,Madrid
0,2807901007,Madrid,840,42000,180,273732,Madrid
0,2807901008,Madrid,810,27000,2044,3108835,Madrid
0,2807901009,Madrid,1420,202857,1836,2792412,Madrid
0,2807901011,Madrid,1104,22080,1793,272624,Madrid
0,2807901012,Madrid,785,39250,1651,2510382,Madrid
0,2807901013,Madrid,1219,406333,1209,1838171,Madrid
1,2807901014,Madrid,1427,475667,176,2675832,Madrid
0,2807901015,Madrid,1767,44175,1853,2818125,Madrid
0,2807901016,Madrid,1139,379667,1889,2873215,Madrid
0,2807901018,Madrid,1777,118467,1781,2708878,Madrid
0,2807901019,Madrid,1306,32650,1799,2735803,Madrid
0,2807901020,Madrid,1273,31825,1696,2578942,Madrid
0,2807901021,Madrid,1878,37560,1731,2632802,Madrid
0,2807901022,Madrid,1264,25280,1603,2437035,Madrid
0,2807901023,Madrid,1418,70900,1432,2178084,Madrid
0,2807901024,Madrid,1270,63500,1702,2588097,Madrid
1,2807901025,Madrid,1018,25450,1609,2447118,Madrid
0,2807901026,Madrid,1567,31340,1742,2649511,Madrid
0,2807901027,Madrid,1217,405667,1939,2948211,Madrid
0,2807901028,Madrid,1570,523333,1643,2498821,Madrid
1,2807901029,Madrid,1426,71300,143,2174953,Madrid
0,2807901030,Madrid,1085,54250,1321,2008949,Madrid
1,2807901031,Madrid,1194,39800,1112,1691131,Madrid
0,2807901032,Madrid,2134,355667,1691,2571755,Madrid
0,2807901033,Madrid,1300,65000,141,214449,Madrid
0,2807901034,Madrid,1612,80600,130,1976367,Madrid
0,2807901035,Madrid,1538,512667,1369,2081824,Madrid
0,2807901036,Madrid,1118,55900,1308,1989267,Madrid
0,2807901037,Madrid,1135,56750,1235,1877307,Madrid
1,2807901038,Madrid,1658,165800,1222,1859027,Madrid
0,2807901039,Madrid,994,12425,1353,205768,Madrid
0,2807901040,Madrid,849,84900,1476,2244669,Madrid
0,2807901041,Madrid,1034,51700,1508,2292924,Madrid
1,2807901042,Madrid,1116,55800,1379,2096452,Madrid
0,2807901043,Madrid,1235,123500,1329,2020953,Madrid
0,2807901045,Madrid,1326,44200,1638,2491379,Madrid
0,2807901046,Madrid,1687,84350,1542,2344953,Madrid
0,2807901047,Madrid,2308,769333,1547,2351976,Madrid
1,2807901048,Madrid,1290,64500,1447,2201124,Madrid
0,2807901049,Madrid,1308,130800,1235,1878598,Madrid
0,2807901050,Madrid,1386,69300,1385,2105908,Madrid
0,2807901051,Madrid,1505,75250,1351,2054913,Madrid
0,2807901053,Madrid,1352,27040,151,2295543,Madrid
0,2807901054,Madrid,946,47300,1384,2104414,Madrid
0,2807901055,Madrid,1041,52050,1287,1957412,Madrid
0,2807901056,Madrid,875,43750,1535,2334101,Madrid
1,2807901057,Madrid,1420,236667,1725,2623693,Madrid
0,2807901058,Madrid,699,17475,1412,214769,Madrid
1,2807901059,Madrid,1532,38300,1755,2668417,Madrid
0,2807901061,Madrid,846,42300,1575,2394655,Madrid
0,2807901062,Madrid,999,24975,1832,278667,Madrid
0,2807901063,Madrid,760,253333,1738,26425,Madrid
0,2807901064,Madrid,804,20100,1778,270333,Madrid
0,2807901065,Madrid,816,40800,1929,2933506,Madrid
1,2807901066,Madrid,1319,439667,1607,2443165,Madrid
1,2807901067,Madrid,1213,30325,1908,2901326,Madrid
0,2807901068,Madrid,820,273333,1764,2683067,Madrid
1,2807901069,Madrid,996,24900,1954,2970701,Madrid
0,2807901071,Madrid,731,121833,2023,3076073,Madrid
0,2807901072,Madrid,1527,63625,207,3147483,Madrid
0,2807901073,Madrid,1758,11720,2274,3458493,Madrid
2,2807901074,Madrid,1706,21325,1942,2952987,Madrid
0,2807901075,Madrid,1414,471333,1616,2457185,Madrid
0,2807901076,Madrid,1371,45700,1773,2696503,Madrid
0,2807901077,Madrid,1355,33875,202,3071787,Madrid
0,2807901079,Madrid,1497,37425,1933,2939631,Madrid
0,2807901081,Madrid,1693,564333,1668,2536056,Madrid
0,2807901082,Madrid,1748,291333,186,2828348,Madrid
2,2807901084,Madrid,1536,12800,2156,327878,Madrid
1,2807901087,Madrid,1384,197714,2178,3312747,Madrid
0,2807901088,Madrid,1267,211167,2051,3119673,Madrid
0,2807901089,Madrid,1493,37325,1863,2833495,Madrid
0,2807901090,Madrid,886,295333,1939,294917,Madrid
1,2807901091,Madrid,1120,56000,1724,2622203,Madrid
0,2807901092,Madrid,791,79100,1356,2061995,Madrid
0,2807901093,Madrid,1558,519333,163,2479067,Madrid
0,2807901094,Madrid,1521,50700,1552,2359795,Madrid
0,2807901095,Madrid,1486,495333,1758,2672949,Madrid
0,2807901096,Madrid,1142,57100,1538,2338298,Madrid
0,2807901097,Madrid,1495,498333,1757,26716,Madrid
0,2807901098,Madrid,1179,58950,1484,2256304,Madrid
0,2807901099,Madrid,1317,65850,1532,2329586,Madrid
0,2807901100,Madrid,1204,60200,171,2600373,Madrid
0,2807901101,Madrid,1266,63300,1544,2347609,Madrid
0,2807901102,Madrid,1172,29300,1616,2457576,Madrid
0,2807901103,Madrid,1446,36150,1992,3029138,Madrid
0,2807901104,Madrid,1264,63200,1817,2763641,Madrid
0,2807901105,Madrid,1320,44000,1871,2845076,Madrid
0,2807901106,Madrid,1172,58600,2043,3107458,Madrid
0,2807901107,Madrid,1162,129111,2143,325959,Madrid
0,2807901108,Madrid,1476,134182,1733,2634667,Madrid
0,2807901109,Madrid,920,46000,1634,2485576,Madrid
0,2807901110,Madrid,915,22875,1662,252788,Madrid
0,2807901111,Madrid,964,24100,1876,2852972,Madrid
1,2807901112,Madrid,1185,23700,1694,2575544,Madrid
